step_id,task_name,op_type,predecessors,std_duration,time_variance,work_load_score,rework_prob,required_workers,required_tools
# ========== 阶段1: 准备与来料检验 (Stage 1: Preparation & Incoming Inspection) ==========
S001,风扇叶片来料检验,M,,25,3,4,0.03,1,检测台
S002,压气机叶片来料检验,M,,30,4,4,0.04,1,检测台
S003,涡轮叶片来料检验,M,,35,5,5,0.05,1,检测台
S004,机匣来料检验,M,,40,5,5,0.04,2,检测台
S005,轴承组件来料检验,M,,20,3,4,0.03,1,检测台
S006,密封件来料检验,M,,15,2,3,0.02,1,
S007,工装夹具准备,H,,20,2,4,0,2,装配台
S008,装配工位清洁,H,,15,2,3,0,1,

# ========== 阶段2: 低压压气机装配 (Stage 2: Low Pressure Compressor Assembly) ==========
S101,低压压气机转子吊装,H,S001;S007;S008,25,4,8,0,3,吊车
S102,低压一级叶片安装,A,S101,45,6,7,0,2,装配台
S103,低压二级叶片安装,A,S102,45,6,7,0,2,装配台
S104,低压三级叶片安装,A,S103,45,6,7,0,2,装配台
S105,低压压气机静子安装,A,S104,35,5,6,0,2,装配台
S106,低压压气机间隙测量,M,S105,30,4,5,0.08,2,检测台
S107,低压压气机动平衡,M,S106,60,8,6,0.10,2,动平衡机

# ========== 阶段3: 高压压气机装配 (Stage 3: High Pressure Compressor Assembly) ==========
S201,高压压气机转子吊装,H,S002;S107,25,4,8,0,3,吊车
S202,高压一级叶片安装,A,S201,50,7,7,0,2,装配台
S203,高压二级叶片安装,A,S202,50,7,7,0,2,装配台
S204,高压三级叶片安装,A,S203,50,7,7,0,2,装配台
S205,高压四级叶片安装,A,S204,50,7,7,0,2,装配台
S206,高压五级叶片安装,A,S205,50,7,7,0,2,装配台
S207,高压压气机静子安装,A,S206,40,5,6,0,2,装配台
S208,高压压气机间隙测量,M,S207,35,5,5,0.08,2,检测台
S209,高压压气机动平衡,M,S208,70,10,6,0.12,2,动平衡机

# ========== 阶段4: 燃烧室装配 (Stage 4: Combustion Chamber Assembly) ==========
S301,燃烧室外壳安装,A,S209,40,5,6,0,2,装配台
S302,燃油喷嘴安装,A,S301,55,7,7,0,2,装配台
S303,点火器安装,A,S302,30,4,5,0,2,装配台
S304,燃烧室内衬安装,A,S303,45,6,7,0,2,装配台
S305,燃烧室密封检查,M,S304,40,5,5,0.06,2,检测台

# ========== 阶段5: 涡轮装配 (Stage 5: Turbine Assembly) ==========
S401,高压涡轮盘吊装,H,S003;S305,30,4,8,0,3,吊车
S402,高压涡轮叶片安装,A,S401,60,8,8,0,2,装配台
S403,高压涡轮导向器安装,A,S402,45,6,7,0,2,装配台
S404,高压涡轮间隙测量,M,S403,35,5,5,0.08,2,检测台
S405,低压涡轮盘吊装,H,S404,30,4,8,0,3,吊车
S406,低压涡轮叶片安装,A,S405,55,7,8,0,2,装配台
S407,低压涡轮导向器安装,A,S406,40,5,7,0,2,装配台
S408,低压涡轮间隙测量,M,S407,35,5,5,0.08,2,检测台
S409,涡轮组件动平衡,M,S408,75,10,6,0.10,2,动平衡机

# ========== 阶段6: 轴系与轴承装配 (Stage 6: Shaft & Bearing Assembly) ==========
S501,主轴吊装,H,S005;S409,25,4,8,0,3,吊车
S502,前轴承安装,A,S501,40,5,7,0,2,装配台
S503,后轴承安装,A,S502,40,5,7,0,2,装配台
S504,中介轴承安装,A,S503,35,4,6,0,2,装配台
S505,轴系同心度测量,M,S504,45,6,5,0.06,2,检测台
S506,轴系预紧力调整,T,S505,30,4,6,0,2,

# ========== 阶段7: 附件机匣装配 (Stage 7: Accessory Gearbox Assembly) ==========
S601,附件机匣安装,A,S004;S506,50,6,7,0,2,装配台
S602,燃油泵安装,A,S601,35,4,6,0,2,装配台
S603,滑油泵安装,A,S602,30,4,5,0,2,装配台
S604,液压泵安装,A,S603,35,4,6,0,2,装配台
S605,起动机安装,A,S604,40,5,6,0,2,装配台
S606,附件系统密封检查,M,S605,30,4,5,0.05,2,检测台

# ========== 阶段8: 总装与管路连接 (Stage 8: Final Assembly & Piping) ==========
S701,发动机总装吊装,H,S606;S006,35,5,9,0,4,吊车
S702,燃油管路连接,A,S701,50,6,6,0,2,
S703,滑油管路连接,A,S702,45,5,6,0,2,
S704,液压管路连接,A,S703,45,5,6,0,2,
S705,气动管路连接,A,S704,40,5,6,0,2,
S706,电气线束安装,A,S705,55,7,5,0,2,
S707,传感器安装,A,S706,45,6,5,0,2,
S708,外部管路检查,M,S707,35,5,4,0.04,2,检测台

# ========== 阶段9: 总装检测 (Stage 9: Final Inspection) ==========
S801,发动机外观检查,M,S708,30,4,4,0.02,2,
S802,管路气密性测试,M,S801,60,8,5,0.05,2,检测台
S803,电气系统测试,M,S802,45,6,5,0.04,2,检测台
S804,功能件动作检查,M,S803,40,5,5,0.03,2,检测台
S805,最终尺寸复核,M,S804,35,5,4,0.03,2,检测台

# ========== 阶段10: 试车准备与试车 (Stage 10: Test Preparation & Engine Test) ==========
S901,试车准备工作,H,S805,40,5,6,0,2,试车台
S902,发动机安装到试车台,H,S901,50,6,8,0,4,试车台;吊车
S903,试车仪表连接,A,S902,35,4,5,0,2,试车台
S904,慢车试车,M,S903,90,12,6,0.08,3,试车台
S905,高速试车,M,S904,120,15,7,0.10,3,试车台
S906,试车数据分析,D,S905,60,8,4,0,2,
S907,试车后检查,M,S906,45,6,5,0.05,2,检测台

# ========== 阶段11: 最终处理与交付 (Stage 11: Final Processing & Delivery) ==========
S1001,发动机拆卸下台,H,S907,40,5,7,0,3,试车台;吊车
S1002,最终清洁处理,H,S1001,30,4,5,0,2,
S1003,防护处理,T,S1002,25,3,4,0,2,
S1004,标识与铭牌安装,A,S1003,20,3,3,0,1,
S1005,技术文件整理,D,S1004,40,5,3,0,1,
S1006,质量审核签字,D,S1005,30,4,3,0,2,
S1007,包装入库,H,S1006,35,4,6,0,2,
